kunta;ika;vaesto;label;summa
Iitti;0;57;0-9;
Iitti;1;43;0-9;
Iitti;2;41;0-9;
Iitti;3;55;0-9;
Iitti;4;59;0-9;
Iitti;5;56;0-9;
Iitti;6;67;0-9;
Iitti;7;65;0-9;
Iitti;8;75;0-9;
Iitti;9;65;0-9;583
Iitti;10;57;10-19;
Iitti;11;66;10-19;
Iitti;12;74;10-19;
Iitti;13;58;10-19;
Iitti;14;76;10-19;
Iitti;15;74;10-19;
Iitti;16;65;10-19;
Iitti;17;78;10-19;
Iitti;18;54;10-19;
Iitti;19;57;10-19;659
Iitti;20;42;20-29;
Iitti;21;48;20-29;
Iitti;22;38;20-29;
Iitti;23;31;20-29;
Iitti;24;29;20-29;
Iitti;25;50;20-29;
Iitti;26;40;20-29;
Iitti;27;43;20-29;
Iitti;28;44;20-29;
Iitti;29;59;20-29;424
Iitti;30;50;30-39;
Iitti;31;53;30-39;
Iitti;32;49;30-39;
Iitti;33;60;30-39;
Iitti;34;62;30-39;
Iitti;35;60;30-39;
Iitti;36;67;30-39;
Iitti;37;76;30-39;
Iitti;38;70;30-39;
Iitti;39;63;30-39;610
Iitti;40;74;40-49;
Iitti;41;59;40-49;
Iitti;42;74;40-49;
Iitti;43;64;40-49;
Iitti;44;76;40-49;
Iitti;45;67;40-49;
Iitti;46;71;40-49;
Iitti;47;84;40-49;
Iitti;48;50;40-49;
Iitti;49;64;40-49;683
Iitti;50;74;50-59;
Iitti;51;80;50-59;
Iitti;52;70;50-59;
Iitti;53;89;50-59;
Iitti;54;95;50-59;
Iitti;55;94;50-59;
Iitti;56;99;50-59;
Iitti;57;106;50-59;
Iitti;58;110;50-59;
Iitti;59;96;50-59;913
Iitti;60;114;60-69;
Iitti;61;112;60-69;
Iitti;62;114;60-69;
Iitti;63;123;60-69;
Iitti;64;112;60-69;
Iitti;65;121;60-69;
Iitti;66;138;60-69;
Iitti;67;110;60-69;
Iitti;68;116;60-69;
Iitti;69;111;60-69;1171
Iitti;70;119;70-79;
Iitti;71;119;70-79;
Iitti;72;120;70-79;
Iitti;73;103;70-79;
Iitti;74;110;70-79;
Iitti;75;114;70-79;
Iitti;76;93;70-79;
Iitti;77;63;70-79;
Iitti;78;70;70-79;
Iitti;79;55;70-79;966
Iitti;80;77;80-89;
Iitti;81;58;80-89;
Iitti;82;50;80-89;
Iitti;83;44;80-89;
Iitti;84;42;80-89;
Iitti;85;55;80-89;
Iitti;86;35;80-89;
Iitti;87;27;80-89;
Iitti;88;33;80-89;
Iitti;89;21;80-89;442
Iitti;90;25;90-99;
Iitti;91;25;90-99;
Iitti;92;18;90-99;
Iitti;93;9;90-99;
Iitti;94;10;90-99;
Iitti;95;2;90-99;
Iitti;96;11;90-99;
Iitti;97;3;90-99;
Iitti;98;2;90-99;
Iitti;99;3;90-99;108
Kärkölä;0;19;0-9;
Kärkölä;1;32;0-9;
Kärkölä;2;17;0-9;
Kärkölä;3;30;0-9;
Kärkölä;4;29;0-9;
Kärkölä;5;24;0-9;
Kärkölä;6;39;0-9;
Kärkölä;7;36;0-9;
Kärkölä;8;51;0-9;
Kärkölä;9;44;0-9;321
Kärkölä;10;39;10-19;
Kärkölä;11;40;10-19;
Kärkölä;12;44;10-19;
Kärkölä;13;43;10-19;
Kärkölä;14;45;10-19;
Kärkölä;15;52;10-19;
Kärkölä;16;47;10-19;
Kärkölä;17;36;10-19;
Kärkölä;18;42;10-19;
Kärkölä;19;29;10-19;417
Kärkölä;20;30;20-29;
Kärkölä;21;31;20-29;
Kärkölä;22;18;20-29;
Kärkölä;23;20;20-29;
Kärkölä;24;29;20-29;
Kärkölä;25;33;20-29;
Kärkölä;26;49;20-29;
Kärkölä;27;43;20-29;
Kärkölä;28;34;20-29;
Kärkölä;29;35;20-29;322
Kärkölä;30;36;30-39;
Kärkölä;31;40;30-39;
Kärkölä;32;40;30-39;
Kärkölä;33;40;30-39;
Kärkölä;34;32;30-39;
Kärkölä;35;42;30-39;
Kärkölä;36;29;30-39;
Kärkölä;37;43;30-39;
Kärkölä;38;44;30-39;
Kärkölä;39;48;30-39;394
Kärkölä;40;44;40-49;
Kärkölä;41;47;40-49;
Kärkölä;42;49;40-49;
Kärkölä;43;45;40-49;
Kärkölä;44;55;40-49;
Kärkölä;45;65;40-49;
Kärkölä;46;51;40-49;
Kärkölä;47;57;40-49;
Kärkölä;48;58;40-49;
Kärkölä;49;46;40-49;517
Kärkölä;50;49;50-59;
Kärkölä;51;62;50-59;
Kärkölä;52;54;50-59;
Kärkölä;53;88;50-59;
Kärkölä;54;79;50-59;
Kärkölä;55;69;50-59;
Kärkölä;56;60;50-59;
Kärkölä;57;71;50-59;
Kärkölä;58;73;50-59;
Kärkölä;59;76;50-59;681
Kärkölä;60;79;60-69;
Kärkölä;61;77;60-69;
Kärkölä;62;78;60-69;
Kärkölä;63;72;60-69;
Kärkölä;64;66;60-69;
Kärkölä;65;66;60-69;
Kärkölä;66;62;60-69;
Kärkölä;67;62;60-69;
Kärkölä;68;62;60-69;
Kärkölä;69;75;60-69;699
Kärkölä;70;64;70-79;
Kärkölä;71;70;70-79;
Kärkölä;72;87;70-79;
Kärkölä;73;67;70-79;
Kärkölä;74;86;70-79;
Kärkölä;75;64;70-79;
Kärkölä;76;66;70-79;
Kärkölä;77;48;70-79;
Kärkölä;78;35;70-79;
Kärkölä;79;26;70-79;613
Kärkölä;80;46;80-89;
Kärkölä;81;32;80-89;
Kärkölä;82;26;80-89;
Kärkölä;83;25;80-89;
Kärkölä;84;27;80-89;
Kärkölä;85;24;80-89;
Kärkölä;86;14;80-89;
Kärkölä;87;20;80-89;
Kärkölä;88;10;80-89;
Kärkölä;89;10;80-89;234
Kärkölä;90;13;90-99;
Kärkölä;91;7;90-99;
Kärkölä;92;6;90-99;
Kärkölä;93;6;90-99;
Kärkölä;94;5;90-99;
Kärkölä;95;4;90-99;
Kärkölä;96;0;90-99;
Kärkölä;97;3;90-99;
Kärkölä;98;2;90-99;
Kärkölä;99;0;90-99;46
Lahti;0;1017;0-9;
Lahti;1;954;0-9;
Lahti;2;914;0-9;
Lahti;3;1013;0-9;
Lahti;4;1024;0-9;
Lahti;5;1063;0-9;
Lahti;6;1134;0-9;
Lahti;7;1155;0-9;
Lahti;8;1133;0-9;
Lahti;9;1292;0-9;10699
Lahti;10;1235;10-19;
Lahti;11;1312;10-19;
Lahti;12;1283;10-19;
Lahti;13;1288;10-19;
Lahti;14;1279;10-19;
Lahti;15;1239;10-19;
Lahti;16;1294;10-19;
Lahti;17;1249;10-19;
Lahti;18;1364;10-19;
Lahti;19;1393;10-19;12936
Lahti;20;1303;20-29;
Lahti;21;1379;20-29;
Lahti;22;1329;20-29;
Lahti;23;1281;20-29;
Lahti;24;1383;20-29;
Lahti;25;1386;20-29;
Lahti;26;1543;20-29;
Lahti;27;1565;20-29;
Lahti;28;1540;20-29;
Lahti;29;1638;20-29;14347
Lahti;30;1501;30-39;
Lahti;31;1583;30-39;
Lahti;32;1560;30-39;
Lahti;33;1435;30-39;
Lahti;34;1428;30-39;
Lahti;35;1461;30-39;
Lahti;36;1504;30-39;
Lahti;37;1526;30-39;
Lahti;38;1525;30-39;
Lahti;39;1505;30-39;15028
Lahti;40;1426;40-49;
Lahti;41;1498;40-49;
Lahti;42;1436;40-49;
Lahti;43;1496;40-49;
Lahti;44;1451;40-49;
Lahti;45;1466;40-49;
Lahti;46;1397;40-49;
Lahti;47;1433;40-49;
Lahti;48;1277;40-49;
Lahti;49;1332;40-49;14212
Lahti;50;1314;50-59;
Lahti;51;1373;50-59;
Lahti;52;1422;50-59;
Lahti;53;1609;50-59;
Lahti;54;1560;50-59;
Lahti;55;1506;50-59;
Lahti;56;1629;50-59;
Lahti;57;1569;50-59;
Lahti;58;1582;50-59;
Lahti;59;1514;50-59;15078
Lahti;60;1486;60-69;
Lahti;61;1515;60-69;
Lahti;62;1484;60-69;
Lahti;63;1433;60-69;
Lahti;64;1571;60-69;
Lahti;65;1513;60-69;
Lahti;66;1519;60-69;
Lahti;67;1598;60-69;
Lahti;68;1579;60-69;
Lahti;69;1698;60-69;15396
Lahti;70;1641;70-79;
Lahti;71;1737;70-79;
Lahti;72;1778;70-79;
Lahti;73;1828;70-79;
Lahti;74;1679;70-79;
Lahti;75;1628;70-79;
Lahti;76;1426;70-79;
Lahti;77;1132;70-79;
Lahti;78;1006;70-79;
Lahti;79;763;70-79;14618
Lahti;80;1173;80-89;
Lahti;81;803;80-89;
Lahti;82;832;80-89;
Lahti;83;764;80-89;
Lahti;84;681;80-89;
Lahti;85;553;80-89;
Lahti;86;512;80-89;
Lahti;87;464;80-89;
Lahti;88;352;80-89;
Lahti;89;334;80-89;6468
Lahti;90;284;90-99;
Lahti;91;244;90-99;
Lahti;92;192;90-99;
Lahti;93;173;90-99;
Lahti;94;103;90-99;
Lahti;95;82;90-99;
Lahti;96;64;90-99;
Lahti;97;44;90-99;
Lahti;98;24;90-99;
Lahti;99;10;90-99;1220